model,dataset,dataset_type,iteration,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,dimensions,emissions_kg,duration,n_parameters,project_id,ready,data_quality_dimension,data_quality_dimension_percentage,experiment_method,datapoint_w,datapoint_h,model_type,experiment
RESNET,PhalangesOutlinesCorrect,time_series,0,0.7718280553817749,0.8216783404350281,0.7718280553817749,1.0,1.0,0.8216783404350281,0.8216783404350281,0.8828338980674744,0.8216783404350281,269,1103,0.6127777777777778,1800,Image,2,1,0.0006844365727009,98.13309335708618,506818,98caae84-bdb4-4cf7-a455-3f0f08fbfec8,True,completeness,0.6,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,0,0.6739299297332764,0.8146852850914001,0.6739299297332764,1.0,1.0,0.8146852850914001,0.8146852850914001,0.8802406191825867,0.8146852254867554,261,903,0.5016666666666667,1800,Image,2,1,0.000555023224586,83.58453726768494,506818,f664b1f8-9771-4a38-906d-20395841b5e0,True,completeness,0.5,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,0,0.6261364221572876,0.8041958212852478,0.6261364221572876,1.0,1.0,0.8041958212852478,0.8041958212852478,0.8548251986503601,0.8041958212852478,246,736,0.4088888888888889,1800,Image,2,1,0.000445046358247,67.30908226966858,506818,7316e230-745a-43d8-8b54-b0ee1215b693,True,completeness,0.4,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,0,0.6027175188064575,0.748251736164093,0.6027175188064575,1.0,1.0,0.748251736164093,0.748251736164093,0.8232357501983643,0.748251736164093,241,518,0.2877777777777778,1800,Image,2,1,0.0003715697415788,58.25145530700684,506818,f26c1ed0-9a7f-4ed1-8917-7ae482c4e87f,True,completeness,0.3,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,0,0.8375298976898193,0.745920717716217,0.8375298976898193,1.0,1.0,0.745920717716217,0.745920717716217,0.8188718557357788,0.745920717716217,317,377,0.2094444444444444,1800,Image,2,1,0.000419142685582,71.77253699302673,506818,0db78e43-6e5b-4a4f-bc46-8b814338f603,True,completeness,0.2,uniform,80,1,RESNET,e11
RESNET,StarLightCurves,time_series,0,0.1236182674765586,0.9695240259170532,0.1236182674765586,1.0,1.0,0.9696381092071532,0.9694026112556458,0.9926575422286988,0.9695240259170532,354,893,0.893,1000,Sensor,3,1,0.0042473389687404,622.7839291095734,506947,e2e84dd5-49f9-458b-8d3f-0c55483c16d9,True,completeness,0.9,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,0,0.1391621083021164,0.9697668552398682,0.1391621083021164,1.0,1.0,0.969880998134613,0.9696454405784608,0.9917226433753968,0.9697668552398682,392,807,0.807,1000,Sensor,3,1,0.0043387181140854,625.2625472545624,506947,2b1b08b0-ff18-4af3-939d-5c4af723e4bf,True,completeness,0.8,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,0,0.1067904829978942,0.97134530544281,0.1067904829978942,1.0,1.0,0.971574366092682,0.9711024761199952,0.9938195943832396,0.97134530544281,239,705,0.705,1000,Sensor,3,1,0.0023288585340297,336.733252286911,506947,e2e5b622-653d-4114-a0d8-d08bc8a06e6a,True,completeness,0.7,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,0,0.1555859446525573,0.9490043520927428,0.1555859446525573,1.0,1.0,0.9493378400802612,0.948761522769928,0.9917714595794678,0.9490043520927428,1000,583,0.583,1000,Sensor,3,1,0.008302325051755,1225.8708398342133,506947,55fb1e74-6b72-4bc5-a169-f48a5deb3d05,True,completeness,0.6,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,0,0.1581216752529144,0.9675813317298888,0.1581216752529144,1.0,1.0,0.9675813317298888,0.9675813317298888,0.9917420744895936,0.9675813317298888,749,497,0.497,1000,Sensor,3,1,0.0052042314428455,767.2271766662598,506947,86cd9df1-5219-4933-b571-06a18f6418c4,True,completeness,0.5,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,0,0.1567746251821518,0.9547110199928284,0.1567746251821518,1.0,1.0,0.9551313519477844,0.9537397027015686,0.9917628169059752,0.9547110199928284,258,402,0.402,1000,Sensor,3,1,0.0014908681644381,220.1886169910431,506947,8de39d97-3b08-4a2b-b36e-07a0e89f996a,True,completeness,0.4,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,0,0.1777901202440261,0.968188464641571,0.1777901202440261,1.0,1.0,0.9681845903396606,0.9680670499801636,0.9903386831283568,0.968188464641571,696,335,0.335,1000,Sensor,3,1,0.0034654514266628,502.68190026283264,506947,94e21bc9-0734-401f-adc5-19e98f58901d,True,completeness,0.3,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,0,0.1682016402482986,0.9509470462799072,0.1682016402482986,1.0,1.0,0.9510506391525269,0.9507042169570924,0.9905093908309937,0.9509470462799072,473,193,0.193,1000,Sensor,3,1,0.0014795556109838,223.96697354316711,506947,2cca70b7-5c81-4275-8341-cbe353474fbe,True,completeness,0.2,uniform,1024,1,RESNET,e11
