,model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
60,FCN,CinCECGTorso,time_series,e11,2,uniform,completeness,0.4,2.2560205459594727,0.2246376872062683,2.2560205459594727,0.7760869860649109,1.0,0.2425683736801147,0.1478260904550552,0.5067269206047058,0.2246376872062683,408,19,0.475,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0002775724057532,54.46127676963806,266244,422c4049-ebee-4928-a78f-237bec139282,True
61,FCN,CinCECGTorso,time_series,e11,2,uniform,completeness,0.3,1.7102259397506714,0.2478260844945907,1.7102259397506714,0.7007246613502502,1.0,0.2678711712360382,0.2471014559268951,0.4678923487663269,0.2478260844945907,343,16,0.4,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0002035352790316,40.82416582107544,266244,826882e7-801b-4fe6-8cc5-5fe9294903a6,True
62,FCN,CinCECGTorso,time_series,e11,2,uniform,completeness,0.2,1.3667618036270142,0.29347825050354,1.3667618036270142,0.7601449489593506,1.0,0.0,0.0,0.5746884346008301,0.29347825050354,255,7,0.175,40,Sensor,4,SIMPLE_CNN,1639,1,1,7.405074064986065e-05,15.635545253753662,266244,155e7390-3aaf-4a8b-b9a5-c63748e7ffe2,True
63,RESNET,CinCECGTorso,time_series,e11,2,uniform,completeness,1.0,0.9183911085128784,0.7507246136665344,0.9183911085128784,0.958695650100708,1.0,0.7618688941001892,0.7326086759567261,0.9135937094688416,0.7507246136665344,503,40,1.0,40,Sensor,4,RESNET,1639,1,1,0.0006465802479314,98.49124431610107,507076,b1ed5d5a-1979-4351-a448-8311d3f7fa39,True
64,RESNET,CinCECGTorso,time_series,e11,2,uniform,completeness,0.9,1.3457136154174805,0.3282608687877655,1.3457136154174805,0.8369565010070801,1.0,0.342857152223587,0.0086956517770886,0.6194695234298706,0.3282608687877655,193,35,0.875,40,Sensor,4,RESNET,1639,1,1,0.0002954841212381,44.53514051437378,507076,53c4658d-b77b-46d6-9fe5-8cee270d6fc1,True
65,RESNET,CinCECGTorso,time_series,e11,2,uniform,completeness,0.8,1.4012343883514404,0.2478260844945907,1.4012343883514404,0.6992753744125366,1.0,0.0,0.0,0.4965840578079223,0.2478260844945907,181,31,0.775,40,Sensor,4,RESNET,1639,1,1,0.000236573563512,32.75532341003418,507076,44a93773-df13-4e74-aa42-83b76ae5d84e,True
66,RESNET,CinCECGTorso,time_series,e11,2,uniform,completeness,0.7,1.58931303024292,0.4195652306079864,1.58931303024292,0.8362318873405457,1.0,0.4131147563457489,0.1826086938381195,0.6371845602989197,0.4195652306079864,206,22,0.55,40,Sensor,4,RESNET,1639,1,1,0.0002564233421349,41.84321045875549,507076,521688de-26ac-4c94-a968-7790e04dc1bb,True
67,RESNET,CinCECGTorso,time_series,e11,2,uniform,completeness,0.6,4.096805572509766,0.4550724625587463,4.096805572509766,0.8681159615516663,1.0,0.4588235318660736,0.4521739184856415,0.6921448707580566,0.4550724625587463,402,29,0.725,40,Sensor,4,RESNET,1639,1,1,0.0004654954060492,74.95134401321411,507076,24dc6d66-eaf5-4088-833c-b5777364b037,True
68,RESNET,CinCECGTorso,time_series,e11,2,uniform,completeness,0.5,2.1127426624298096,0.5586956739425659,2.1127426624298096,0.954347848892212,1.0,0.5724244713783264,0.5355072617530823,0.7532568573951721,0.5586956739425659,539,25,0.625,40,Sensor,4,RESNET,1639,1,1,0.0006158820665892,87.4014675617218,507076,b4f25594-98ff-441c-abe3-e2a491c10432,True
69,RESNET,CinCECGTorso,time_series,e11,2,uniform,completeness,0.4,2.2386958599090576,0.3471014499664306,2.2386958599090576,0.886956512928009,1.0,0.338670939207077,0.3065217435359955,0.6364952325820923,0.3471014499664306,239,20,0.5,40,Sensor,4,RESNET,1639,1,1,0.0002375506210254,35.24912643432617,507076,a03c51d7-ef72-4bea-8454-4cc35d0a9a16,True
70,RESNET,CinCECGTorso,time_series,e11,2,uniform,completeness,0.3,1.4317127466201782,0.2891304492950439,1.4317127466201782,0.7710145115852356,1.0,0.46875,0.0217391308397054,0.5355865359306335,0.2891304492950439,222,9,0.225,40,Sensor,4,RESNET,1639,1,1,0.0001338990385692,19.23708176612854,507076,8c109116-c9f8-4c5e-b2fc-13cac6a1c1f5,True
71,RESNET,CinCECGTorso,time_series,e11,2,uniform,completeness,0.2,1.3817620277404783,0.2485507279634475,1.3817620277404783,0.7463768124580383,1.0,0.0,0.0,0.5481814742088318,0.2485507279634475,181,9,0.225,40,Sensor,4,RESNET,1639,1,1,9.7608649064463e-05,15.982807874679564,507076,e9e719d6-3afe-4438-8252-b960581bc25b,True
72,MLP,CinCECGTorso,time_series,e11,2,uniform,completeness,1.0,1.428372144699097,0.211594209074974,1.428372144699097,0.8072463870048523,1.0,0.0,0.0,0.5139121413230896,0.211594209074974,304,40,1.0,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.0001061418370316,22.38830137252808,1323004,b548e97d-31c4-41de-91fe-e653dffc2ecf,True
73,MLP,CinCECGTorso,time_series,e11,2,uniform,completeness,0.9,1.0385112762451172,0.6398550868034363,1.0385112762451172,0.8014492988586426,1.0,0.7731755375862122,0.5681159496307373,0.8346558809280396,0.6398550868034363,1483,35,0.875,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.0006218762828646,134.28913402557373,1323004,26677e0b-83f6-4fba-8c0c-a21aa4b3770b,True
74,MLP,CinCECGTorso,time_series,e11,2,uniform,completeness,0.8,0.831163227558136,0.710869550704956,0.831163227558136,0.8905797004699707,1.0,0.7663629055023193,0.6702898740768433,0.8943740725517273,0.710869550704956,2000,33,0.825,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.0008087995656141,175.0117609500885,1323004,c33b1303-fa88-4bc1-98f0-ad11a20dc13d,True
