model,dataset,dataset_type,iteration,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,dimensions,emissions_kg,duration,n_parameters,project_id,ready,data_quality_dimension,data_quality_dimension_percentage,experiment_method,datapoint_w,datapoint_h,experiment,model_type
CNN_BIG,CIFAR-10,images,0,0.7678195834159851,0.7879999876022339,0.7678195834159851,0.9549000263214112,0.9865000247955322,0.8086019158363342,0.7727000117301941,0.9657697677612304,0.7879999876022339,65,14983,0.29966,50000,Image,10,3.0,0.0006947265453783,102.94254350662231,552874,da4636cc-2b1e-4d55-b04f-b1f8f66940cc,True,completeness,0.3,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,0,0.8508002758026123,0.7275999784469604,0.8508002758026123,0.9294000267982484,0.9800999760627748,0.769641637802124,0.6916000247001648,0.9594069123268129,0.7275999784469604,49,10093,0.20186,50000,Image,10,3.0,0.0003654064954951,55.424591064453125,552874,2cb7aa90-7ee1-458a-bf5e-525c6a98a2d1,True,completeness,0.2,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,1,0.3136304914951324,0.8884999752044678,0.3136304914951324,0.989199995994568,0.9984999895095824,0.9071546792984008,0.8773999810218811,0.9924570322036744,0.8884999752044678,41,53989,0.8998166666666667,60000,Image,10,1.0,0.0004538302618048,65.51877474784851,20930,8eef646c-5ab7-4cdb-ae61-f51d5179b336,True,completeness,0.9,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,1,0.3280146420001983,0.8820000290870667,0.3280146420001983,0.9871000051498412,0.9980999827384948,0.900589644908905,0.8705999851226807,0.9919445514678956,0.8820000290870667,43,47945,0.7990833333333334,60000,Image,10,1.0,0.000399252321461,60.13426518440247,20930,4c642795-07c7-4665-8181-c864e99d2e5e,True,completeness,0.8,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,1,0.3222182095050812,0.8866000175476074,0.3222182095050812,0.9902999997138976,0.9980999827384948,0.9009278416633606,0.8738999962806702,0.99233078956604,0.8866000771522522,39,42058,0.7009666666666666,60000,Image,10,1.0,0.0003308152079438,49.78629183769226,20930,eddd5701-f34a-43c7-b805-3b3ddfaf142b,True,completeness,0.7,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,1,0.3707443475723266,0.8730999827384949,0.3707443475723266,0.9861999750137328,0.997099995613098,0.8902590870857239,0.8590999841690063,0.9893776178359984,0.8730999827384949,41,35902,0.5983666666666667,60000,Image,10,1.0,0.0002864489425081,44.074241399765015,20930,e86741b0-21a5-4540-806e-45708c9b4742,True,completeness,0.6,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,1,0.3488966226577759,0.876800000667572,0.3488966226577759,0.987600028514862,0.9980000257492064,0.8956729769706726,0.8611000180244446,0.9912262558937072,0.876800000667572,40,30047,0.5007833333333334,60000,Image,10,1.0,0.0002560286011096,38.18769955635071,20930,db5db436-7e4d-46b8-a159-ddc0bb25b58b,True,completeness,0.5,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,1,0.3601819574832916,0.8769999742507935,0.3601819574832916,0.9854999780654908,0.9976999759674072,0.8933857679367065,0.863099992275238,0.9898296594619752,0.8769999742507935,50,23895,0.39825,60000,Image,10,1.0,0.0002453227495964,36.87294030189514,20930,2c7e25b5-23c5-4544-bc40-94e52ae7556b,True,completeness,0.4,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,1,0.402869313955307,0.8557999730110168,0.402869313955307,0.9839000105857848,0.9968000054359436,0.8754043579101562,0.8389000296592712,0.9889804124832152,0.8558000326156616,44,18104,0.3017333333333333,60000,Image,10,1.0,0.0001684014125015,26.01924729347229,20930,18c1d604-f7b2-451b-9aa6-d3e7210cc536,True,completeness,0.3,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,1,0.430908203125,0.854200005531311,0.430908203125,0.9830999970436096,0.9959999918937684,0.8732673525810242,0.8378999829292297,0.9869994521141052,0.854200005531311,42,12027,0.20045,60000,Image,10,1.0,0.0001272514699867,18.91533327102661,20930,969af5cb-57f2-4c00-a92b-64932314fbe2,True,completeness,0.2,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,1,0.5182971954345703,0.8547999858856201,0.5182971954345703,0.9742000102996826,0.9919999837875366,0.8679032325744629,0.8468999862670898,0.9802042245864868,0.8547999858856201,69,45010,0.9002,50000,Image,10,3.0,0.0021571515715197,315.6480588912964,552874,0e71082b-27a2-4ca0-b6b2-38368548b5ed,True,completeness,0.9,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,1,0.5413926243782043,0.838699996471405,0.5413926243782043,0.9684000015258788,0.9929999709129332,0.8566687703132629,0.8259999752044678,0.9808494448661804,0.8386999368667603,54,40037,0.80074,50000,Image,10,3.0,0.0015051081985069,220.04998135566711,552874,95cf7bf5-fe9f-4467-9000-2011c666a89a,True,completeness,0.8,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,1,0.5552380084991455,0.8392000198364258,0.5552380084991455,0.9667999744415284,0.9919999837875366,0.8562240600585938,0.8253999948501587,0.9779599905014038,0.8392000198364258,53,34890,0.6978,50000,Image,10,3.0,0.0013200656079538,189.1627585887909,552874,f4eb7a60-f919-4282-95c6-e60cc3a1dacf,True,completeness,0.7,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,1,0.5798869132995605,0.8174999952316284,0.5798869132995605,0.9628999829292296,0.9902999997138976,0.8443410992622375,0.7990000247955322,0.977838933467865,0.8174999952316284,50,30204,0.60408,50000,Image,10,3.0,0.0010707618224192,155.14739966392517,552874,cbfcb87e-5847-415f-8726-d6da95f9a73a,True,completeness,0.6,uniform,32.0,32.0,e11,SIMPLE_CNN
